Exp,Period,A_Temp,Real_Avg,Treat,Replicate,Bath,Day,Infection,Spores,Exposed
HW,C,14,14.36,C,1,A,28,1,238,238
HW,C,14,14.36,C,2,A,28,1,52,52
HW,D,14,14.36,HW,1,A,29,1,590,590
HW,D,14,14.36,HW,2,A,29,1,362,362
HW,D,14,14.36,HW,3,A,29,1,171,171
HW,D,14,14.36,HW,4,A,29,1,322,322
HW,D,14,14.36,HW,5,A,29,1,458,458
HW,C,14,14.36,C,1,A,29,1,379,379
HW,C,14,14.36,C,2,A,29,1,495,495
HW,JA,14,14.36,HW,1,A,28,1,96,96
HW,JA,14,14.36,HW,2,A,28,1,983,983
HW,JA,14,14.36,HW,3,A,28,1,112,112
HW,JA,14,14.36,HW,4,A,28,1,225,225
HW,JA,14,14.36,HW,5,A,28,1,467,467
HW,C,14,14.36,C,1,A,28,1,261,261
HW,C,14,14.36,C,2,A,28,1,234,234
HW,A,14,14.36,HW,1,A,29,1,89,89
HW,A,14,14.36,HW,2,A,29,1,1434,1434
HW,A,14,14.36,HW,3,A,29,1,8,8
HW,A,14,14.36,HW,4,A,29,1,561,561
HW,A,14,14.36,HW,5,A,29,1,871,871
HW,C,14,14.36,C,1,A,29,1,51,51
HW,C,14,14.36,C,2,A,29,1,69,69
HW,C,14,14.04,C,3,B,30,1,13,13
HW,C,14,14.04,C,4,B,30,1,11,11
HW,C,14,14.04,C,3,B,32,1,809,809
HW,C,14,14.04,C,4,B,32,1,312,312
HW,JA,14,14.04,HW,6,B,32,1,27,27
HW,JA,14,14.04,HW,7,B,32,1,309,309
HW,JA,14,14.04,HW,8,B,32,1,239,239
HW,JA,14,14.04,HW,9,B,32,1,260,260
HW,JA,14,14.04,HW,10,B,32,1,323,323
HW,C,14,14.04,C,3,B,32,1,632,632
HW,C,14,14.04,C,4,B,32,1,11,11
HW,A,14,14.04,HW,6,B,30,1,170,170
HW,A,14,14.04,HW,7,B,30,1,388,388
HW,A,14,14.04,HW,8,B,30,1,310,310
HW,A,14,14.04,HW,9,B,30,1,354,354
HW,C,14,14.04,C,3,B,30,1,73,73
HW,C,14,14.04,C,4,B,30,1,42,42
HW,C,14,14.05,C,5,C,34,1,31,31
HW,C,14,14.05,C,6,C,34,1,102,102
HW,D,14,14.05,HW,11,C,34,1,682,682
HW,D,14,14.05,HW,12,C,34,1,95,95
HW,D,14,14.05,HW,13,C,34,1,636,636
HW,D,14,14.05,HW,14,C,34,1,988,988
HW,D,14,14.05,HW,15,C,34,1,417,417
HW,C,14,14.05,C,5,C,34,1,114,114
HW,C,14,14.05,C,6,C,34,0,,0
HW,JA,14,14.05,HW,11,C,33,0,,0
HW,JA,14,14.05,HW,12,C,33,1,381,381
HW,JA,14,14.05,HW,13,C,33,1,285,285
HW,JA,14,14.05,HW,14,C,33,1,486,486
HW,JA,14,14.05,HW,15,C,33,1,94,94
HW,C,14,14.05,C,5,C,29,0,,0
HW,A,14,14.05,HW,11,C,33,1,119,119
HW,A,14,14.05,HW,12,C,33,1,32,32
HW,A,14,14.05,HW,13,C,33,1,179,179
HW,A,14,14.05,HW,14,C,33,1,206,206
HW,A,14,14.05,HW,15,C,33,1,36,36
HW,C,14,14.05,C,6,C,33,1,8,8
HW,C,17,16.98,C,1,A,29,1,1180,1180
HW,C,17,16.98,C,2,A,29,1,377,377
HW,D,17,16.98,HW,1,A,29,1,907,907
HW,D,17,16.98,HW,2,A,29,1,1124,1124
HW,D,17,16.98,HW,3,A,29,1,518,518
HW,D,17,16.98,HW,4,A,29,1,397,397
HW,D,17,16.98,HW,5,A,29,1,1370,1370
HW,C,17,16.98,C,1,A,29,1,979,979
HW,JA,17,16.98,HW,1,A,31,0,,0
HW,JA,17,16.98,HW,2,A,31,1,1168,1168
HW,JA,17,16.98,HW,3,A,31,1,780,780
HW,JA,17,16.98,HW,4,A,31,1,465,465
HW,JA,17,16.98,HW,5,A,31,1,60,60
HW,C,17,16.98,C,1,A,31,1,672,672
HW,C,17,16.98,C,2,A,31,1,32,32
